Time,Occupancy
2023-03-10 06:00:55.493249-05:00,1
2023-03-10 06:06:06.835879-05:00,7
2023-03-10 06:11:23.365354-05:00,9
2023-03-10 06:16:32.173012-05:00,9
2023-03-10 06:21:53.165256-05:00,14
2023-03-10 06:27:02.328177-05:00,17
2023-03-10 06:32:14.219310-05:00,19
2023-03-10 06:37:24.263131-05:00,20
2023-03-10 06:42:33.331172-05:00,20
2023-03-10 06:47:44.477374-05:00,20
2023-03-10 06:52:53.434380-05:00,21
2023-03-10 06:58:03.733237-05:00,21
2023-03-10 07:03:13.444595-05:00,22
2023-03-10 07:08:24.599794-05:00,24
2023-03-10 07:13:34.339910-05:00,25
2023-03-10 07:18:45.652603-05:00,24
2023-03-10 07:23:55.582069-05:00,28
2023-03-10 07:29:07.373375-05:00,28
2023-03-10 07:34:23.230344-05:00,27
2023-03-10 07:39:38.602334-05:00,29
2023-03-10 07:44:48.493570-05:00,31
2023-03-10 07:50:01.647330-05:00,30
2023-03-10 07:55:25.646986-05:00,30
2023-03-10 08:00:42.260903-05:00,26
2023-03-10 08:05:55.158311-05:00,27
2023-03-10 08:06:26.626671-05:00,27
2023-03-10 08:11:37.954718-05:00,28
2023-03-10 08:16:48.749826-05:00,29
2023-03-10 08:21:57.838641-05:00,31
2023-03-10 08:27:06.852063-05:00,29
2023-03-10 08:32:23.953891-05:00,29
2023-03-10 08:37:33.508837-05:00,33
2023-03-10 08:42:42.249789-05:00,28
2023-03-10 08:47:54.942172-05:00,30
2023-03-10 08:53:07.432063-05:00,30
2023-03-10 08:58:19.646245-05:00,29
2023-03-10 09:03:30.774816-05:00,29
2023-03-10 09:08:40.507596-05:00,31
2023-03-10 09:14:03.220798-05:00,28
2023-03-10 09:16:26.309352-05:00,28
2023-03-10 09:21:37.857596-05:00,28
2023-03-10 09:26:46.739164-05:00,27
2023-03-10 09:31:56.497969-05:00,29
2023-03-10 09:37:06.968456-05:00,31
2023-03-10 09:42:15.434279-05:00,31
2023-03-10 09:47:32.446108-05:00,32
2023-03-10 09:52:41.172888-05:00,33
2023-03-10 09:57:50.444178-05:00,35
2023-03-10 10:03:04.543283-05:00,42
2023-03-10 10:08:15.203876-05:00,48
2023-03-10 10:13:28.924606-05:00,48
2023-03-10 10:18:38.347986-05:00,50
2023-03-10 10:23:47.635664-05:00,50
2023-03-10 10:29:04.221453-05:00,50
2023-03-10 10:34:18.486243-05:00,52
2023-03-10 10:39:27.432906-05:00,48
2023-03-10 10:44:40.549571-05:00,48
2023-03-10 10:50:02.291929-05:00,48
2023-03-10 10:55:11.648574-05:00,50
2023-03-10 11:00:22.634534-05:00,56
2023-03-10 11:05:40.722669-05:00,56
2023-03-10 11:10:50.061273-05:00,58
2023-03-10 11:16:05.890879-05:00,57
2023-03-10 11:21:18.961529-05:00,55
2023-03-10 11:26:25.510177-05:00,52
2023-03-10 11:31:39.552957-05:00,50
2023-03-10 11:36:49.847222-05:00,52
2023-03-10 11:41:59.483058-05:00,54
2023-03-10 11:47:08.966316-05:00,56
2023-03-10 11:52:34.199190-05:00,60
2023-03-10 11:57:44.214252-05:00,60
2023-03-10 12:02:54.885012-05:00,62
2023-03-10 12:08:04.229461-05:00,61
2023-03-10 12:13:13.544254-05:00,60
2023-03-10 12:18:24.444766-05:00,58
2023-03-10 12:23:34.444394-05:00,59
2023-03-10 12:28:44.273180-05:00,56
2023-03-10 12:33:55.531127-05:00,58
2023-03-10 12:36:25.248073-05:00,57
2023-03-10 12:41:44.897428-05:00,60
2023-03-10 12:46:55.061082-05:00,58
2023-03-10 12:52:04.631688-05:00,55
2023-03-10 12:57:15.143545-05:00,52
2023-03-10 13:02:31.943995-05:00,51
2023-03-10 13:07:42.656808-05:00,53
2023-03-10 13:12:54.440387-05:00,52
2023-03-10 13:18:04.387044-05:00,53
2023-03-10 13:23:18.354899-05:00,60
2023-03-10 13:28:27.934176-05:00,56
2023-03-10 13:33:47.562551-05:00,60
2023-03-10 13:38:56.876550-05:00,66
2023-03-10 13:44:07.390723-05:00,64
2023-03-10 13:46:32.116535-05:00,66
2023-03-10 13:51:52.208016-05:00,68
2023-03-10 13:57:01.260705-05:00,66
2023-03-10 14:02:14.670867-05:00,70
2023-03-10 14:07:43.627888-05:00,70
2023-03-10 14:12:53.244120-05:00,71
2023-03-10 14:18:22.911384-05:00,73
2023-03-10 14:23:47.254978-05:00,83
2023-03-10 14:29:17.132687-05:00,79
2023-03-10 14:34:35.272287-05:00,84
2023-03-10 14:39:59.347770-05:00,85
2023-03-10 14:45:39.634520-05:00,85
2023-03-10 14:51:13.805152-05:00,89
2023-03-10 14:56:47.831350-05:00,94
2023-03-10 15:02:02.652806-05:00,93
2023-03-10 15:07:15.695729-05:00,93
2023-03-10 15:12:29.479499-05:00,97
2023-03-10 15:17:39.045641-05:00,98
2023-03-10 15:22:50.791850-05:00,103
2023-03-10 15:28:01.107068-05:00,109
2023-03-10 15:33:09.775326-05:00,106
2023-03-10 15:38:23.885709-05:00,111
2023-03-10 15:43:36.202761-05:00,110
2023-03-10 15:48:46.397006-05:00,111
2023-03-10 15:53:56.337787-05:00,112
2023-03-10 15:59:06.558945-05:00,120
2023-03-10 16:04:19.284413-05:00,128
2023-03-10 16:09:31.433865-05:00,134
2023-03-10 16:14:42.831715-05:00,130
2023-03-10 16:19:54.276928-05:00,135
2023-03-10 16:25:07.673542-05:00,149
2023-03-10 16:30:18.464057-05:00,154
2023-03-10 16:35:44.367069-05:00,164
2023-03-10 16:40:58.536761-05:00,176
2023-03-10 16:46:16.965012-05:00,173
2023-03-10 16:51:42.611570-05:00,176
2023-03-10 16:56:56.533353-05:00,179
2023-03-10 17:02:08.856621-05:00,178
2023-03-10 17:07:24.040621-05:00,179
2023-03-10 17:12:34.791277-05:00,177
2023-03-10 17:17:53.137897-05:00,180
2023-03-10 17:23:05.420073-05:00,179
2023-03-10 17:28:25.354378-05:00,175
2023-03-10 17:33:35.247124-05:00,161
2023-03-10 17:38:46.743963-05:00,155
2023-03-10 17:43:57.053667-05:00,150
2023-03-10 17:46:25.709330-05:00,145
2023-03-10 17:51:48.467764-05:00,123
2023-03-10 17:57:15.626415-05:00,90
2023-03-10 18:02:39.927375-05:00,72
2023-03-10 18:07:49.635273-05:00,68
2023-03-10 18:13:00.740072-05:00,68
2023-03-10 18:18:15.824686-05:00,68
2023-03-10 18:23:27.759849-05:00,68
2023-03-10 18:28:39.744283-05:00,68
2023-03-10 18:33:50.394252-05:00,68
2023-03-10 18:39:01.049826-05:00,68
2023-03-10 18:44:11.655725-05:00,68
2023-03-10 18:49:25.943288-05:00,68
2023-03-10 18:54:38.970146-05:00,68
2023-03-10 18:56:23.493274-05:00,68
2023-03-10 19:01:35.887254-05:00,68
2023-03-10 19:06:45.977073-05:00,68
2023-03-10 19:11:55.492598-05:00,68
2023-03-10 19:17:05.641141-05:00,68
2023-03-10 19:22:21.859321-05:00,68
2023-03-10 19:27:33.769813-05:00,68
2023-03-10 19:32:45.995737-05:00,68
2023-03-10 19:37:57.473241-05:00,68
2023-03-10 19:43:09.513598-05:00,68
2023-03-10 19:48:27.890094-05:00,68
2023-03-10 19:53:44.253291-05:00,68
2023-03-10 19:59:01.678279-05:00,68
2023-03-10 20:04:13.208097-05:00,68
2023-03-10 20:06:25.778474-05:00,68
2023-03-10 20:11:39.491492-05:00,68
2023-03-10 20:16:51.446912-05:00,68
2023-03-10 20:22:03.582729-05:00,68
2023-03-10 20:27:22.411769-05:00,68
2023-03-10 20:32:39.768557-05:00,68
2023-03-10 20:37:53.124106-05:00,68
2023-03-10 20:43:03.675517-05:00,68
2023-03-10 20:48:14.830465-05:00,68
2023-03-10 20:53:35.925789-05:00,68
2023-03-10 20:58:50.674864-05:00,68
2023-03-10 21:04:12.120180-05:00,68
2023-03-10 21:09:27.974485-05:00,68
2023-03-10 21:14:54.299038-05:00,68
2023-03-10 21:16:43.866067-05:00,68
2023-03-10 21:22:04.170700-05:00,68
2023-03-10 21:27:13.498740-05:00,68
2023-03-10 21:32:22.297554-05:00,68
2023-03-10 21:37:31.618217-05:00,68
2023-03-10 21:42:42.411901-05:00,68
2023-03-10 21:47:52.832628-05:00,68
2023-03-10 21:53:03.509840-05:00,68
2023-03-10 21:58:12.584483-05:00,68
2023-03-10 22:09:39.650984-05:00,68
2023-03-10 22:20:40.520023-05:00,68
2023-03-10 22:25:54.964542-05:00,68
2023-03-10 22:31:04.368695-05:00,68
2023-03-10 22:36:17.753014-05:00,68
2023-03-10 22:41:26.837963-05:00,68
2023-03-10 22:46:41.285967-05:00,68
2023-03-10 22:51:50.483209-05:00,68
2023-03-10 22:56:58.732958-05:00,68
2023-03-10 23:02:08.085064-05:00,68
2023-03-10 23:07:18.299737-05:00,68
2023-03-10 23:12:27.031429-05:00,68
2023-03-10 23:17:36.675938-05:00,68
2023-03-10 23:22:45.941914-05:00,68
2023-03-10 23:26:14.554175-05:00,68
2023-03-10 23:31:38.267681-05:00,68
2023-03-10 23:36:47.238490-05:00,68
2023-03-10 23:41:55.566534-05:00,68
2023-03-10 23:47:09.469239-05:00,68
2023-03-10 23:52:31.166648-05:00,68
2023-03-10 23:57:40.550864-05:00,68
