Time,Occupancy
2023-03-09 06:02:57.643047-05:00,6
2023-03-09 06:08:09.862669-05:00,11
2023-03-09 06:13:20.664800-05:00,15
2023-03-09 06:18:30.741324-05:00,19
2023-03-09 06:23:43.930985-05:00,24
2023-03-09 06:28:21.064288-05:00,27
2023-03-09 06:33:34.161280-05:00,28
2023-03-09 06:38:44.788706-05:00,28
2023-03-09 06:43:54.643114-05:00,29
2023-03-09 06:49:04.885997-05:00,30
2023-03-09 06:53:20.872821-05:00,29
2023-03-09 06:58:33.998876-05:00,30
2023-03-09 07:03:45.103833-05:00,29
2023-03-09 07:08:54.865664-05:00,31
2023-03-09 07:14:04.871294-05:00,34
2023-03-09 07:18:20.508415-05:00,36
2023-03-09 07:23:36.926051-05:00,35
2023-03-09 07:28:47.186152-05:00,32
2023-03-09 07:33:57.061441-05:00,34
2023-03-09 07:39:07.341072-05:00,32
2023-03-09 07:43:21.748445-05:00,33
2023-03-09 07:48:36.071171-05:00,31
2023-03-09 07:53:47.483414-05:00,34
2023-03-09 07:58:57.673135-05:00,34
2023-03-09 08:04:07.882123-05:00,33
2023-03-09 08:08:19.112116-05:00,35
2023-03-09 08:13:32.947595-05:00,36
2023-03-09 08:18:43.550406-05:00,33
2023-03-09 08:23:53.315977-05:00,32
2023-03-09 08:29:03.114101-05:00,33
2023-03-09 08:33:20.258590-05:00,32
2023-03-09 08:38:34.878926-05:00,31
2023-03-09 08:43:48.909751-05:00,30
2023-03-09 08:48:58.738629-05:00,30
2023-03-09 08:54:08.055974-05:00,30
2023-03-09 08:58:20.394692-05:00,30
2023-03-09 09:03:35.561420-05:00,26
2023-03-09 09:08:48.201577-05:00,26
2023-03-09 09:14:00.744972-05:00,23
2023-03-09 09:19:11.013390-05:00,25
2023-03-09 09:23:20.682804-05:00,26
2023-03-09 09:28:33.351138-05:00,25
2023-03-09 09:33:47.682020-05:00,24
2023-03-09 09:38:58.160531-05:00,24
2023-03-09 09:44:08.288178-05:00,25
2023-03-09 09:48:22.412725-05:00,27
2023-03-09 09:53:27.584716-05:00,25
2023-03-09 09:58:28.905531-05:00,25
2023-03-09 10:03:30.418389-05:00,26
2023-03-09 10:08:31.539037-05:00,25
2023-03-09 10:13:33.059033-05:00,25
2023-03-09 10:18:35.225584-05:00,26
2023-03-09 10:23:36.718183-05:00,25
2023-03-09 10:28:37.942799-05:00,23
2023-03-09 10:33:39.585763-05:00,25
2023-03-09 10:38:40.787654-05:00,25
2023-03-09 10:43:41.863623-05:00,28
2023-03-09 10:48:43.660108-05:00,30
2023-03-09 10:53:45.309338-05:00,30
2023-03-09 10:58:47.018574-05:00,30
2023-03-09 11:03:48.373767-05:00,33
2023-03-09 11:08:49.638775-05:00,35
2023-03-09 11:13:51.509584-05:00,35
2023-03-09 11:18:53.272042-05:00,36
2023-03-09 11:23:54.545296-05:00,37
2023-03-09 11:28:55.890403-05:00,35
2023-03-09 11:33:57.606727-05:00,30
2023-03-09 11:38:58.887281-05:00,30
2023-03-09 11:44:00.229588-05:00,28
2023-03-09 11:49:01.689345-05:00,29
2023-03-09 11:54:02.708703-05:00,29
2023-03-09 11:59:05.631409-05:00,28
2023-03-09 12:04:06.772411-05:00,31
2023-03-09 12:09:07.965653-05:00,35
2023-03-09 12:14:09.789865-05:00,35
2023-03-09 12:19:11.354847-05:00,38
2023-03-09 12:24:12.665201-05:00,41
2023-03-09 12:29:13.860846-05:00,41
2023-03-09 12:34:15.166396-05:00,40
2023-03-09 12:39:16.290258-05:00,42
2023-03-09 12:44:17.953843-05:00,41
2023-03-09 12:49:19.457976-05:00,40
2023-03-09 12:54:20.584245-05:00,40
2023-03-09 12:59:22.083179-05:00,39
2023-03-09 13:04:23.401928-05:00,41
2023-03-09 13:09:24.706277-05:00,40
2023-03-09 13:14:26.043566-05:00,40
2023-03-09 13:19:28.254235-05:00,41
2023-03-09 13:24:32.169495-05:00,45
2023-03-09 13:29:34.629896-05:00,42
2023-03-09 13:34:35.960899-05:00,44
2023-03-09 13:39:38.334059-05:00,47
2023-03-09 13:44:40.025062-05:00,49
2023-03-09 13:49:42.032187-05:00,49
2023-03-09 13:54:45.160292-05:00,48
2023-03-09 13:59:47.342963-05:00,48
2023-03-09 14:04:48.774566-05:00,43
2023-03-09 14:09:50.104678-05:00,46
2023-03-09 14:14:51.375713-05:00,45
2023-03-09 14:19:52.645543-05:00,51
2023-03-09 14:24:53.996172-05:00,55
2023-03-09 14:29:55.449329-05:00,54
2023-03-09 14:34:56.756400-05:00,56
2023-03-09 14:39:59.707682-05:00,55
2023-03-09 14:45:01.139744-05:00,56
2023-03-09 14:50:02.597464-05:00,55
2023-03-09 14:55:04.095176-05:00,58
2023-03-09 15:00:05.654675-05:00,61
2023-03-09 15:05:06.972774-05:00,62
2023-03-09 15:10:08.870252-05:00,56
2023-03-09 15:15:10.347352-05:00,59
2023-03-09 15:20:12.145566-05:00,57
2023-03-09 15:25:13.561899-05:00,59
2023-03-09 15:33:54.565641-05:00,61
2023-03-09 15:38:56.952668-05:00,64
2023-03-09 15:43:58.078379-05:00,67
2023-03-09 15:48:59.250831-05:00,69
2023-03-09 15:54:01.070366-05:00,70
2023-03-09 15:59:02.063920-05:00,72
2023-03-09 16:04:03.447565-05:00,71
2023-03-09 16:09:04.752674-05:00,76
2023-03-09 16:14:07.000388-05:00,76
2023-03-09 16:19:11.988618-05:00,81
2023-03-09 16:24:13.354835-05:00,73
2023-03-09 16:29:14.579715-05:00,74
2023-03-09 16:34:16.109464-05:00,74
2023-03-09 16:39:17.565484-05:00,82
2023-03-09 16:44:20.811193-05:00,79
2023-03-09 16:49:22.437070-05:00,79
2023-03-09 16:54:26.724565-05:00,78
2023-03-09 16:59:27.871981-05:00,81
2023-03-09 17:04:29.011487-05:00,88
2023-03-09 17:09:30.595366-05:00,85
2023-03-09 17:14:32.085715-05:00,84
2023-03-09 17:19:33.984137-05:00,80
2023-03-09 17:24:35.397639-05:00,78
2023-03-09 17:29:36.854895-05:00,78
2023-03-09 17:34:37.845542-05:00,75
2023-03-09 17:39:38.966969-05:00,70
2023-03-09 17:44:41.301839-05:00,65
2023-03-09 17:49:42.658555-05:00,55
2023-03-09 17:54:44.443854-05:00,50
2023-03-09 17:59:45.452298-05:00,50
2023-03-09 18:04:47.478410-05:00,50
2023-03-09 18:09:49.469466-05:00,50
2023-03-09 18:14:50.546977-05:00,50
2023-03-09 18:19:52.270404-05:00,50
2023-03-09 18:24:53.280820-05:00,50
2023-03-09 18:29:54.243949-05:00,50
2023-03-09 18:34:55.669714-05:00,50
2023-03-09 18:39:56.753943-05:00,50
2023-03-09 18:44:58.424818-05:00,50
2023-03-09 18:50:00.375528-05:00,50
2023-03-09 18:55:01.739435-05:00,50
2023-03-09 19:00:02.999649-05:00,50
2023-03-09 19:05:05.780742-05:00,50
2023-03-09 19:10:07.628533-05:00,50
2023-03-09 19:15:09.220564-05:00,50
2023-03-09 19:20:10.549933-05:00,50
2023-03-09 19:25:11.449404-05:00,50
2023-03-09 19:30:12.568034-05:00,50
2023-03-09 19:35:15.393435-05:00,50
2023-03-09 19:40:17.001486-05:00,50
