Time,Occupancy
2023-03-13 00:02:39.654449-04:00,0
2023-03-13 00:07:51.971441-04:00,0
2023-03-13 00:13:08.647745-04:00,0
2023-03-13 00:18:18.731364-04:00,0
2023-03-13 00:18:59.434711-04:00,0
2023-03-13 00:24:11.665734-04:00,0
2023-03-13 00:29:23.385661-04:00,0
2023-03-13 00:34:35.296862-04:00,0
2023-03-13 00:39:46.164375-04:00,0
2023-03-13 00:44:56.532139-04:00,0
2023-03-13 00:50:09.755472-04:00,0
2023-03-13 00:55:21.381370-04:00,0
2023-03-13 00:59:03.879645-04:00,0
2023-03-13 01:04:19.177019-04:00,0
2023-03-13 01:09:31.715671-04:00,0
2023-03-13 01:14:42.731945-04:00,0
2023-03-13 01:19:54.938836-04:00,0
2023-03-13 01:25:06.961869-04:00,0
2023-03-13 01:30:18.656710-04:00,0
2023-03-13 01:35:30.807970-04:00,0
2023-03-13 01:39:01.013517-04:00,0
2023-03-13 01:44:17.275070-04:00,0
2023-03-13 01:49:39.139388-04:00,0
2023-03-13 01:54:50.929574-04:00,0
2023-03-13 02:00:04.675418-04:00,0
2023-03-13 02:05:16.810923-04:00,0
2023-03-13 02:10:30.353465-04:00,0
2023-03-13 02:15:42.841263-04:00,0
2023-03-13 02:19:01.844360-04:00,0
2023-03-13 02:24:16.761988-04:00,0
2023-03-13 02:35:04.021491-04:00,0
2023-03-13 02:40:20.796081-04:00,0
2023-03-13 02:45:30.813078-04:00,0
2023-03-13 02:50:39.923397-04:00,0
2023-03-13 02:55:51.700416-04:00,0
2023-03-13 03:01:01.306075-04:00,0
2023-03-13 03:06:55.719599-04:00,0
2023-03-13 03:12:06.924525-04:00,0
2023-03-13 03:17:24.104777-04:00,0
2023-03-13 03:20:50.562617-04:00,0
2023-03-13 03:26:01.812386-04:00,0
2023-03-13 03:31:14.262092-04:00,0
2023-03-13 03:36:23.965341-04:00,0
2023-03-13 03:41:35.463371-04:00,0
2023-03-13 03:46:43.914742-04:00,0
2023-03-13 03:51:59.062960-04:00,0
2023-03-13 03:57:11.056558-04:00,0
2023-03-13 04:02:22.971353-04:00,0
2023-03-13 04:05:49.023363-04:00,0
2023-03-13 04:10:59.419193-04:00,0
2023-03-13 04:16:08.600788-04:00,0
2023-03-13 04:21:17.913506-04:00,0
2023-03-13 04:26:38.548870-04:00,0
2023-03-13 04:31:47.510663-04:00,0
2023-03-13 04:37:05.874821-04:00,0
