  Time,Occupancy
  2023-03-12 10:01:59.631046-04:00,78
  2023-03-12 10:07:11.684080-04:00,86
  2023-03-12 10:12:20.554896-04:00,36
  2023-03-12 10:17:29.548995-04:00,55
  2023-03-12 10:22:38.558325-04:00,58
  2023-03-12 10:27:47.449040-04:00,59
  2023-03-12 10:32:57.100293-04:00,67
  2023-03-12 10:38:06.200378-04:00,67
  2023-03-12 10:43:19.162033-04:00,77
  2023-03-12 10:48:32.346410-04:00,86
  2023-03-12 10:53:41.931581-04:00,86
  2023-03-12 10:58:50.799879-04:00,93
  2023-03-12 11:03:59.248285-04:00,93
  2023-03-12 11:09:08.329812-04:00,97
  2023-03-12 11:14:16.848990-04:00,99
  2023-03-12 11:17:44.512329-04:00,96
  2023-03-12 11:22:57.128649-04:00,98
  2023-03-12 11:28:05.783379-04:00,105
  2023-03-12 11:33:15.569935-04:00,107
  2023-03-12 11:38:24.462193-04:00,113
  2023-03-12 11:43:37.424967-04:00,114
  2023-03-12 11:48:46.353029-04:00,119
  2023-03-12 11:53:54.895053-04:00,117
  2023-03-12 11:59:04.498778-04:00,120
  2023-03-12 12:04:12.535182-04:00,118
  2023-03-12 12:09:22.364377-04:00,116
  2023-03-12 12:14:31.469245-04:00,119
  2023-03-12 12:19:42.833419-04:00,121
  2023-03-12 12:24:53.628697-04:00,126
  2023-03-12 12:30:03.982374-04:00,119
  2023-03-12 12:35:14.831574-04:00,113
  2023-03-12 12:40:25.689980-04:00,112
  2023-03-12 12:45:44.113680-04:00,114
  2023-03-12 12:50:55.439018-04:00,121
  2023-03-12 12:56:06.681913-04:00,122
  2023-03-12 13:01:18.851396-04:00,137
  2023-03-12 13:06:32.955837-04:00,143
  2023-03-12 13:11:43.952230-04:00,151
  2023-03-12 13:16:54.427683-04:00,161
  2023-03-12 13:22:06.153008-04:00,170
  2023-03-12 13:23:09.555757-04:00,170
  2023-03-12 13:28:27.762465-04:00,163
  2023-03-12 13:33:54.281432-04:00,160
  2023-03-12 13:39:03.727763-04:00,163
